8 8
132 156 112 
116 168 92 
103 188 110 
79 185 97 
93 189 88 
114 190 78 
107 179 86 
125 179 90 
131 166 135 
125 161 141 
130 150 121 
139 167 121 
158 160 168 
182 155 166 
137 154 160 
147 156 165 
153 146 136 
168 157 145 
167 151 136 
158 144 148 
146 165 135 
163 147 139 
169 163 128 
157 186 118 
168 140 131 
196 154 147 
205 150 123 
207 159 144 
186 148 141 
198 144 157 
215 138 139 
215 168 156 
212 168 121 
219 171 106 
228 173 109 
214 183 82 
219 174 78 
207 188 86 
202 187 58 
187 198 76 
200 172 116 
203 185 108 
196 171 107 
205 169 104 
197 212 89 
228 224 99 
255 210 96 
255 253 111 
201 191 115 
206 201 95 
189 191 82 
152 198 85 
113 188 86 
128 181 83 
120 210 73 
127 221 58 
230 178 99 
234 179 84 
211 198 99 
239 201 116 
232 180 115 
221 199 128 
201 199 139 
209 189 141 
